,index,#,Country,#.1,Artist,Song,Language,Pl.,Sc.,Eurovision_Number,Year,Host_Country,Host_City,Lyrics,Lyrics translation,Gender
49,821,822,Netherlands,42,Linda Wagenmakers,No Goodbyes,English,13,40,45,2000,Sweden,Stockholm,"Don't you know what you are doing to me?
This ain't the way to work things out
Tell me something that I've never heard before
We gotta get off this crazy roundabout

No more doubting, no more fears
No more cheating, no more tears
No more questions, no more lies
No farewells, no goodbyes
No goodbyes

I don't understand why you keep saying:
""Oh, everything's just fine, there's nothing wrong""
Something's been happening that we cannot ignore
It's time for us to sing a different song

No more doubting, no more fears
No more cheating, no more tears
No more questions, no more lies
No farewells, no goodbyes
No goodbyes

Oh, don't say anything you'll wish you hadn't said
Just say nothing at all (say nothing at all)
'Cause I know love will grow when you go
Don't say goodbye, oh no

Don't say goodbye, no goodbyes
(No goodbyes)
Don't say anything you'll wish you hadn't said, my baby
(No goodbyes)
Oh no, oh no, no

(Yeah...)
No farewells, no goodbyes",English,female
50,822,823,United Kingdom,43,Nicki French,Don't Play That Song Again,English,16,28,45,2000,Sweden,Stockholm,"Once I had a dream
I thought we had everything
Living such a perfect life
We had it all
And our love took flight
Deep into the night

Now I'm alone again
But I'm... I'm gonna be strong
And the tears that I have cried
You'll never see
Oh... but crying in vain was never for me

Don't play that song again
Reminding me of how it used to be
Don't play that song again
I wish it could be like before
When you were here with me, oh yeah
Oh deejay, please don't play
Don't play that song again (song again)

Time, time changes everything
And that's what they say
But it's too late for regrets
When all's said and done
It just wasn't meant to be
Now I'm the lonely one

Don't play that song again
Reminding me of how it used to be
Don't play that song again
I wish it could be like before
When you were here with me, oh yeah
Oh deejay, please don't play
Don't play that song again

Don't play that song again
Reminding me of how it used to be
Don't play that song again
I wish it could be like before
When you were here with me, oh yeah
Oh deejay, please don't play
Don't play that song again (song again)

No... oh deejay, please don't play
Don't play that song again
That song again
Don't play that song again...",English,female
51,823,824,Estonia,6,Ines,Once in a Lifetime,English,4,98,45,2000,Sweden,Stockholm,"I don't wish I could turn back time
I can move the mountains higher than high
Don't look back, hold on to your spirit
Keep moving every minute

I know it seems a little premature
To live for the moment, I'm just a girl
Don't look back, hold on to your spirit
Keep moving every minute

What you give is what you get
There ain't no regrets

If you give me wings and reason why
Then I'll be an angel in your sky
Because I'm seventeen only
Once in a lifetime
Read my mind

I'm ready, why are you standing still?
Are you coming with me? - I know you will
We can search the world together
Come on, baby, now or never

What you give is what you get
There ain't no regrets

If you give me wings and reason why
Then I'll be an angel in your sky
Because I'm seventeen only
Once in a lifetime
Read my mind

If you give me wings and reason why
Then I'll be an angel in your sky
Because I'm seventeen only
Once in a lifetime
Read my mind

I believe there's a better place always
Somewhere else instead
I believe the grass is greener if I chase
The magic no one else can find
(The magic no one else can find)

If you give me wings and reason why
Then I'll be an angel in your sky
Because I'm seventeen only
Once in a lifetime
Read my mind

If you give me wings and reason why
Then I'll be an angel in your sky
Because I'm seventeen only
Once in a lifetime
Read my mind

Because I'm seventeen only
Once in a lifetime",English,female
52,824,825,France,43,Sofia Mestari,On aura le ciel,French,23,5,45,2000,Sweden,Stockholm,"Et dans tes yeux, mes yeux, plonger, traverser l'océan
Poser enfin la main sur toi
Et dans tes bras, mes bras, tomber, emportée par l'élan
Laisser enfin glisser mes doigts

On aura le ciel
Un peu des anges, les ailes, on s'envole, toi et moi
On aura le miel
Un goût d'orange, cannelle, on s'envole toi et moi

Et sur ta peau, ma peau salée, savourer les moments
La nuit, flâner enfin un peu sur toi, mon bébé
Et sur ton cœur, mon cœur, briller, déposer un diamant
La nuit, penser enfin un peu à moi

On aura le ciel
Un peu des anges, les ailes, on s'envole, toi et moi
On aura le miel
Un goût d'orange, cannelle, on s'envole toi et moi

Oh... se jouer des nuages sous le ciel bleu, mon bébé
Se jouer des nuages sous le ciel bleu
On aura le soleil au fond des yeux, mon bébé
On aura le soleil au fond des yeux

Et sur ton cœur, mon cœur, léger, emporté par le vent
Oh... toi et moi

On aura le ciel
Un peu des anges, les ailes, on s'envole, toi et moi
On aura le miel
Un goût d'orange, cannelle, on s'envole, toi et moi

On aura le ciel
(Et sur ta peau, ma peau salée, savourer les moments)
On s'envole toi et moi
On aura le miel
(Et sur ton cœur, mon cœur, briller, déposer un diamant)
S'envole toi et moi

On aura le ciel
Un peu des anges, les ailes, on s'envole, toi et moi
On aura le miel
Un goût d'orange, cannelle, on s'envole, toi et moi

On aura le ciel","And in your eyes, my eyes
To dive, to cross the ocean
To finally put my hand on you
And in your arms, my arms
To fall, taken by the impulse
To finally let my fingers slide We’ll have the sky
A little bit like angels, wings
We’re flying away, you and I We’ll have the honey
A taste of orange, cinnamon
We’re flying away, you and I And on your skin, my salty skin
To savour the moments
At night, to finally laze a little bit on you, my baby And in your heart, my heart
To shine, to put down a diamond
At night, to finally think a little bit of me We’ll have the sky
A little bit like angels, wings
We’re flying away, you and I We’ll have the honey
A taste of orange, cinnamon
We’re flying away, you and I Oh, to play with clouds under the blue sky, my baby
To play with clouds under the blue sky
We’ll have the sun deeply in our eyes, my baby
We’ll have the sun deeply in our eyes And on your heart, my heart
Light, taken by the wind
Oh, you and I We’ll have the sky
A little bit like angels, wings
We’re flying away, you and I We’ll have the honey
A taste of orange, cinnamon
We’re flying away, you and I We’ll have the sky
(And on your skin, my salty skin)
(To savour the moments)
We’re flying away, you and I We’ll have the sky
(And on your heart, my heart)
(To shine, to put down a diamond)
We’re flying away, you and I We’ll have the sky
A little bit like angels, wings
We’re flying away, you and I We’ll have the honey
A taste of orange, cinnamon
We’re flying away, you and I We’ll have the sky",female
53,825,826,Romania,3,Taxi,The Moon,English,17,25,45,2000,Sweden,Stockholm,"I knew it all from the start
I knew you'll rise above my world
A little sun warming my heart
I betrayed myself, I knew I lied
You've searched into my soul to find love
And found me hiding deep inside
You did see a way to set me free

Now I hear when the wind is playing
With the stars of my night
Simply 'cause I have you near
Now I feel when the moon is playing
On and on and on with my heart
Simply 'cause your love is real

I knew it all, I understood
I simply blinked and let the light
Give me reasons to be good
You did see a way to set me free

Now I hear when the wind is playing
With the stars of my night
Simply 'cause I have you near
Now I feel when the moon is playing
On and on and on with my heart
Simply 'cause your love is real

Yes, I feel when the moon is playing

Now I hear how the wind is playing
With the stars of my night
Simply 'cause I have you near
Now I feel when the moon is playing
On and on and on with my heart
Simply 'cause your love is real",English,male
54,826,827,Malta,13,Claudette Pace,Desire,English (Maltese),8,73,45,2000,Sweden,Stockholm,"From the first day I saw you
To the last time we met
I've desired to hold you
Have you and make you mine

But to have and to hold
To love and to grow
It takes two hearts that beat
To the rhythm of one

When you push me away
I taste fear and pain
Turns my fire to smoke
With one word, with one stroke

Deep in my heart is desire to love
Deep in my soul is desire to grow
Deep in your smile is desire for more
Deep when we kiss, the feeling that can't be missed

Let me live, let me die
Let me laugh, let me cry
Let me burn in your fire
In flames of desire

Be my river of hope
My mountain of truth
Let me colour your life
With the colour of love

Deep in my heart is desire to love
Deep in my soul is desire to grow
Deep in your smile is desire for more
Deep when we kiss, the feeling that can't be missed

Dejjem ridtek
Dejjem xtaqtek
Lilek ћabbejt

Take me up, take me down
Take me into your arms
Spin the magic of love
With one word, with one smile

My desire runs deep
And I'm losing sleep
I wake up to the light
You're the key to my heart

Deep in my heart is desire to love
Deep in my soul is desire to grow
Deep in your smile is desire for more
Deep when we kiss, the feeling that can't be missed

(Deep in my heart is desire to love)
Deep in my soul
(Deep in my soul is desire to grow)
Deep in your smile is desire for more
Deep when we kiss, the feeling that can't be missed

Desire, desire, desire, desire love",English,female
55,827,828,Norway,40,Charmed,My Heart Goes Boom,English,11,57,45,2000,Sweden,Stockholm,"Woo!

Summer, Saturday and sunshine
Suddenly, I saw you there, a stunning sight from God knows where
You were standing in the shadows
Looking quite impossible, I lost my mind and popsicle

A radio was singing
Something blue in perfect tune
Half a look over your shoulder
I couldn’t keep from staring back at you

My heart goes boom when I see you, baby
Don’t you tell me maybe, it can never be too soon
My heart goes boom, put your arms around me
Say you’re glad you found me, take me spinning round the moon
My heart goes boom

Summer, Saturday, and sunset
You said hello and I said hi, and something lit the evening sky
You came out of the shadows
With a teasing twinkle in your eye and took my senses for a ride

A radio was playing
Something slow in perfect tune
Half a smile as you sat down
I couldn’t seem to keep my eyes off you

My heart goes boom when I see you, baby
Don’t you tell me maybe, it can never be too soon
My heart goes boom, put your arms around me
Say you’re glad you found me, take me spinning round the moon
(My heart goes boom)

A radio was singing
Something blue in perfect tune
Half a look over your shoulder
I couldn’t seem to keep my eyes off you

My heart goes…
My heart goes boom when I see you, baby
Don’t you tell me maybe, it can never be too soon
My heart goes boom, put your arms around me
Say you’re glad you found me, take me spinning round the moon

My heart goes boom
Oh baby, my heart goes boom",English,group
56,828,829,Russia,4,Alsou,Solo,English,2,155,45,2000,Sweden,Stockholm,"Sitting alone, here in my room
Staring at your picture from midnight till noon
Counting the hours, counting the days
You know that I'll miss you in a million ways

Now I wait in the cold and this is getting old
No more stories, no more lies, take me off this ride
When you see me in the hall, I'll look at the wall
By my actions you should know - I'm going solo
Going solo

My friends try to tell me, I didn't want to listen
'Cause I'm the kind of person gotta find out on my own
I gave you my heart, you tore it apart
But I'm coming back strong, I knew it was wrong

Now I wait in the cold and this is getting old
No more stories, no more lies, take me off this ride
When you see me in the hall, I'll look at the wall
By my actions you should know

Now I wait in the cold and this is getting old
No more stories, no more lies, take me off this ride
When you see me in the hall, I'll look at the wall
By my actions you should know - I'm going solo
Going solo

Now I wait...
Wait in the cold and this is getting old
No more stories, no more lies, take me off this ride
When you see me in the hall, I'll look at the wall
By my actions you should know

Now I wait in the cold and this is getting old
No more stories, no more lies, take me off this ride
When you see me in the hall, I'll look at the wall
By my actions you should know - I'm going solo",English,female
57,829,830,Belgium,43,Nathalie Sorce,Envie de vivre,French,24,2,45,2000,Sweden,Stockholm,"Comment vivre sans amour ?
Comment vivre sans amour ?
Comment vivre l'envie de vivre ?

Au delà des pensées, au delà de l'amour
Il nous faut partager bien autre chose chaque jour
Sous les foudres du temps en colère depuis deux mille ans
Ce qui reste debout, ce n'est pas nous

Entre le bien, le mal, bien d'autres sentiments
Suivent la seule étoile à la gloire du Dieu vivant
A travers les passions et défiant toutes les saisons
Ce qui reste debout ce n'est pas nous, mais

L'envie de vivre pour l'eternité
L'envie de vivre nous a dépassés
L'envie de vivre restera gravée
Comme dans un livre qu'on a oublié

Mais on ne peut survivre dans un monde sans amour
Les portes de la vie en auront besoin chaque jour
Comment pourrait-on voir un sourire dans chaque regard
Si la case départ est dénuée de tout espoir ?

Alors je veux vivre, vivre pour donner
L'envie de vivre et l'envie d'aimer

L'envie de vivre pour l'eternité
L'envie de vivre nous a dépassés
L'envie de vivre restera gravée
Comme dans un livre qu'on a retrouvé

Comment vivre sans amour ?
Comment vivre sans amour ?
Comment vivre l'envie de vivre ?","The wish to live
How to live without love?
How to live without love?
How to live the wish to live?
Beyond thoughts, beyond love
We have to share far more every day
Under the wrath of time furious for 2000 years
What's left standing, it's not us
Between good and bad, lots of other feelings
Following the only star to the glory of the living God
Through the passions and distrusting all seasons
What's left standing, it's not us, but
The wish to live for eternity
The wish to live passed us by
The wish to live will remain engraved
Like in a book we have forgotten about.
But we can't survive in a world without love
The gates of life will need it every day
How could we see a smile in every look
If square one is devoid of any hope?
So I want to live, live to give
The wish to live and the wish to love
The wish to live for eternity
The wish to live passed us by
The wish to live will remain engraved
Like in a book we have discovered again
How to live without love?
How to live without love?
How to live the wish to live?",female
58,830,831,Cyprus,19,Voice,Nomiza (Νόμιζα),Greek/Italian,21,8,45,2000,Sweden,Stockholm,"Αφησα τις αντιστάσεις
Τις παλιές μου κατάστασεις, όλα
Κι ήρθα έρανο σου να σβήσω
Και φωτιά να σε ταΐσω, τώρα

Μα όλα αυτά που μας αγγίζουν
Πόσο ακόμα μας χωρίζουν, πόσο
Διαφορετικούς μας θέλει
Η ζωή και περιμένει, πόσο

Νόμιζα πως μπορώ κάποιο τρόπο να βρω
Να ενώσω αυτά που μας 'θελαν μακριά
Νόμιζα πως μπορώ κάποιο τρόπο να βρω
Να ενώσω αυτά που μας 'θελαν μακριά

Μέχρι τώρα επιμένω
Κι ούτε ξέρω που πηγαίνω μόνος
Όπως είναι, είναι ένταξει
Κι ότι είσαι δεν θα αλλάξει ο χρόνος

Α... νόμιζα πως μπορώ κάποιο τρόπο να βρω
Να ενώσω αυτά που μας 'θελαν μακριά
Νόμιζα η καρδιά είχε πάντα πρωτιά
Κι όμως φεύγω εγώ, ναι ακόμα σ' αγαπώ (Σ' αγαπώ)
Ναι, yeah...
Νόμιζα πως μπορώ κάποιο τρόπο να βρω

(Νανανά...) νόμιζα... (νανανά...) νόμιζα...
Νανανά... νανανά... νανανά... α α α...

Νόμιζα η καρδιά είχε πάντα πρωτιά
Κι όμως φεύγω εγώ, ναι ακόμα σ' αγαπώ","I lost everything when
I hurt and I later cried so much
Inflamed with your love
I forget your honour, I burn
But with all that touches us
So much still keeps us apart, so much
Life expects us to be different
And waits for it, but for how long?
I believed that I would find a way
To bring together all that kept us apart
You know that it’s bright red, and the fire within us
Will never die away, it’ll cause so much trouble
I’ve tried to absorb emotions for ignoring, light
I’m all right the way I am and time won’t change you
Ah… I believed that I would find a way
To bring together all that kept us apart
I believed that my heart came first
Yet I’m leaving, though I still love you (I love you)
Yeah, yeah…
I believed that I would find a way
I believed… I believed…
Nanana… nanana… nanana… ah ah ah…
I believed that my heart came first
Yet I’m leaving, though I still love you
",group
59,831,832,Iceland,14,August & Telma,Tell Me!,English,12,45,45,2000,Sweden,Stockholm,"With you in my life, it's destined to be right
And I know that it's true, girl, I was only made for you
So why don't we make the pieces fit and pack our bags tonight?
And go wherever love will take us, we'll make it all right

Tell me, tell me, tell me once, tell me twice
Tell me there is no compromise
We'll be together all the time
So say you will be mine

Ooh... with you by my side, I'm on a rollercoaster-ride
And I know that it's true - boy, I was only made for you
Listen to me now, you've got to give me a sign
'Cause I can't wait here any longer, make up your mind

Tell me, tell me, tell me once, tell me twice
Tell me there is no compromise
We'll be together all the time

Tell me, tell me, tell me once, tell me twice
Tell me there is no compromise
We'll be together all the time
So say you will be mine

If you only knew all that we could do
We'd be together all alone, you and me
Like we were always meant to be

Oh... I don't know if it's fact or fiction
But I'm sure we'll make the right decision
Look into my eyes now, baby, give it all you've got

Tell me, tell me, tell me once, tell me twice
Tell me there is no compromise
We'll be together all the time

Tell me, tell it to me once, tell me twice
Tell me there is no compromise
We'll be together all the time",English,group
60,832,833,Spain,40,Serafín Zubiri,Colgado de un sueño,Spanish,18,18,45,2000,Sweden,Stockholm,"Colgado de un sueño
En lo alto del cielo intento vivir
El mundo a lo lejos
Parece pequeño visto desde aquí
Qué me importa que se diga de mí
Que no tengo los pies en el suelo
No saben que vuelo en vez de dormir

Aquí no hay límites a mis deseos
Nada me pueden prohibir
Navego libre por mis pensamientos
Qué no me bajen de aquí
Aquí hay espacio para mis anhelos
Todo se puede cumplir
Que no me obliguen a pisar el suelo
Que sólo quiero seguir
Colgado de un sueño

Flotando en el aire sin miedo a caer
Que el mundo es pequeño
Y todas mis ansias no caben en él
Qué me importa que se diga de mí
Que no tengo los pies en el suelo
Colgado en mi sueño consigo vivir

Aquí no hay límites a mis deseos
Nada me pueden prohibir
Navego libre por mis pensamientos
Qué no me bajen de aquí
Aquí hay espacio para mis anhelos
Todo se puede cumplir
Que no me obliguen a pisar el suelo
Que sólo quiero seguir
Colgado de un sueño
Colgado de un sueño
Colgado de un sueño","Hanging from a dream
High in the sky, I try to live
The world in the distance
Seems small, seen from here
I don’t care what people say of me
That I don’t have my feet on the floor
They don’t know that I fly instead of sleeping There are no limits to my wishes here
Nothing can be forbidden
I’m sailing free through my thoughts
Don’t take me off of here There is room for my longings here
Everything can come true
Don’t make me go to the floor
I just want to remain Hanging from a dream
Floating in the air without fear to fall
The world is small
And all my anxieties don’t fit into it I don’t care what people say of me
That I don’t have my feet on the floor
Hanging from my dream, I manage to live There are no limits to my wishes here
Nothing can be forbidden
I’m sailing free through my thoughts
Don’t take me off of here There is room to my longings here
Everything can come true
Don’t make me go to the floor
I just want to remain Hanging from a dream
Hanging from a dream
Hanging from a dream",male
61,833,834,Denmark,30,Olsen Brothers,Fly on the Wings of Love,English,1,195,45,2000,Sweden,Stockholm,"In the summernight, when the moon shines bright
Feeling love forever
And the heat is on, when the daylight's gone
Still happy together

There's just one more thing I'd like to add
She's the greatest love I've ever had

Fly on the wings of love
Fly baby fly
Reaching the stars above
Touching the sky

And as time goes by, there's a lot to try
And I'm feeling lucky
In the warmest sand, smiling hand in hand
Love is all around me

There's just one more thing I'd like to add
She's the greatest love I've ever had

Fly on the wings of love
Fly baby fly
Reaching the stars above
Touching the sky",English,group
62,834,835,Germany,44,Stefan Raab,Wadde hadde dudde da?,German/English,5,96,45,2000,Sweden,Stockholm,"[Intro]
Ladies and gentlemen
Please put your patschehands together
For the sensationel Supersack of German television
STEFAN RAHAB!
Oh mein Gott, es gibt ihn wirklich!
WAHAOW!
Er ging nach Amerika und sagte:
„Wenn ich es dort schaffe, komm' ich nie mehr nach Deutschland zurück!“
Und heute Abend ist er wieder HIER, WAHAOW!

[Chorus: Stefan Raab & Background Singer]
Wadde hadde dudde da?
Wadde hadde dudde da?
Wadde hadde dudde da?
Wadde hadde dudde da?
Wadde hadde dudde da?

[Part 1]
Hadder denn da wat, und wenn ja, wat hadder da?
Hadder da wat glatt, oder hadder da wat haar da?
Hadder da wat, wat sonst keiner hat
Oder hadder er dann auf dat, dat wadder da hat?
Dat wadder da da hat, dat hadder nunmal da
Dabei war ja garnicht klar, dat dat datda war
Wat dat war, dat war unklar
Und darum sammer dochma bitte, wadde hadde dudde da?

[Pre-Chorus: Background Singer]
I am so curious, I just wanna know what you've there
I am so curious, I just wanna know what you've there

[Chorus: Stefan Raab & Background Singer]
Wadde hadde dudde da?
Wadde hadde dudde da?
Wadde hadde dudde da?
Wadde hadde dudde da?
Wadde hadde dudde da?

[Part 2]
Aha, wadde hadde dudde da?
Wadde dude da da hat, hat ich schon vor nem Jahr
Nene, dat war weder dat, dat, oder datda
Wie, dat dat wat war, ich dachte dat dat dat war
Wat datda war, das ist noch immer nicht klar
Und ob dat matt, glatt, platt, satt, oder wat auch immer war
Wat datda war und wenn wat datda war
Bitte, bitte, sammer dochmal wadde hadde dudde da?

[Pre-Chorus: Background Singer]
I am so curious, I just wanna know what you´ve there
I am so curious, I just wanna know what you´ve there

[Chorus: Stefan Raab & Background Singer]
Wadde hadde dudde da?
Wadde hadde dudde da?
Wadde hadde dudde da?
Wadde hadde dudde da?
Wadde hadde dudde da?

[Chorus 2: Stefan Raab & Background Singer]
Wadde hadde dudde da?
Wadde hadde dudde da?
Wadde hadde dudde da?
Wadde hadde dudde da?
Wadde hadde dudde da?
Wadde hadde dudde da?

[Outro]
OH MEIN GOOHOTT!","Ladies and gentlemen, please
Put your chubby little hands together
For the sensational super sack of German television
Stefan Raab! Oh my god, he is real
Yahow... he's been to America and said
""If I can make it there""
""I'm never gonna make it to Germany again""
And tonight, here he is, back again! What do you have there? What do you have there?
What do you have there?
What do you have there? Does he have something there then, and if so, what is it?
Does he have something bald there, or rather some hair?
Does he have something there which no one else has?
Or does he have that on top of what he has there?
That what he has there, he just has there now
Although it was not clear at all, that that was that there
What that was, that was unclear
So come on, tell me yet, please, what do you have there? I am so curious, I just wanna know what you there have
I am so curious, I just wanna know what you there have What do you have there? What do you have there?
What do you have there?
What do you have there? Aha... what do you have there?
What you have there, I had for a year already
No, no, it was neither that, that or that there
What do you mean that that was something?
I thought that that that was
What that was there, that is still not clear
And if it was dull, flat, smooth, full, or whatever
That that was something, and if so, what that was there
Please, please, tell me, what do you have there? I am so curious, I just wanna know what you there have
I am so curious, I just wanna know what you there have What do you have there? What do you have there?
What do you have there?
What do you have there? What do you have there?
What do you have there?
What do you have there? Oh my God!",male
63,835,836,Switzerland,43,Jane Bogaert,La vita cos'è?,Italian,20,14,45,2000,Sweden,Stockholm,"Mi sveglio al mattino
Il caffè ancora caldo di ieri
La pioggia sulla finestra
Che legge nei miei pensieri

Mi chiedo dove sei amore lontano
Il telefono non ha suonato
Quel tuo sorriso mi fa impazzire
Non posso più aspettare

So che non era facile, il cuore mio così fragile
Si accende in un momento e vola via con il vento
Mi sento una piccola onda nel mare, azzurro dell'amore
Adesso nei miei giorni ci sei tu

La vita cos'è? La vita dov'è?
Una spina nel cuore che mi crea dolore
Se tu non ci sei

La vita dov'è? La vita cos'è?
Un palco d'amore ma l'applauso non c'é
Se tu non ci sei

Dividi con me il mondo, fammi vivere ogni giorno
Per restare accesa come la luce di una stella
Vivere un amore nel cielo, non c'è una cosa più bella
Stringimi più forte, baciami

La vita cos'è? La vita dov'è?
Una spina nel cuore che mi crea dolore
Se tu non ci sei

La vita dov'è? La vita cos'è?
Un palco d'amore ma l'applauso non c'é
Se tu non ci sei

Se tu non ci sei","What is life?
I wake up in the morning
The coffee I made yesterday is still hot
The rain over the window
Is reading my thoughts
I wonder where my absent love is
The telephone has not rung
Your smile makes me crazy
I can't wait anymore
I know it was not easy, my fragile heart
Is burning in a moment and flies straight with the wind
I feel like a little seawave, the blueness of love
Now you are in my days
Where is life? What is life?
A thorn which hurts my heart
If you are not here
Where is life? What is life?
A balcony of love with no applause
If you are not here
Divide the world with me, make me live every day
To shine like the light of a star
To live love in the sky, is such a beautiful thing
Hold me strongly, kiss me
Where is life? What is life?
A thorn which hurts my heart
If you are not here
Where is life? What is life?
A balcony of love with no applause
If you are not here
If you are not here",male
64,836,837,Croatia,8,Goran Karan,Kad zaspu anđeli,Croatian,9,70,45,2000,Sweden,Stockholm,"Poljubi me i budi tu
Da sklopim oči na tvom toplom ramenu
Poljubi me i budi tu
Nek srce lupa kao da je prvi put
Poljubi me, pomoli se
Sve svijeće svijeta nek se za nas upale

Ostani ovu noć, kad svi mi prijete
Ostani, zagrli me kao dijete
Ostani, kad sva si ljubav moja samo ti
Ostani, da me čuvaš kada zaspu anđeli

Poljubi me i budi tu
Nek srce lupa kao da je prvi put
Poljubi me, pomoli se
Sve svijeće svijeta nek se za nas upale

Ostani ovu noć, kad svi mi prijete
Ostani, zagrli me kao dijete
Ostani, kad sva si ljubav moja samo ti

Ostani ovu noć, kad svi mi prijete
Ostani, zagrli me kao dijete
Ostani, kad sva si ljubav moja samo ti
Ostani, da me čuvaš kada zaspu anđeli","Kiss me and stay here
That I can close my eyes on your warm shoulder
Kiss me and stay here
Let my heart pound, like it's the first time
Kiss me, pray
Let all the candles in the world be litten for us Stay, this night when everyone is threatening me
Stay, embrace me like a child
Stay, when only you are all my love
Stay, guard me when the angels fall asleep Kiss me and stay here
Let my heart pound, like it's the first time
Kiss me, pray
Let all the candles in the world be litten for us Stay, this night when everyone is threatening me
Stay, embrace me like a child
Stay, when only you are all my love
Stay, this night when everyone is threatening me
Stay, embrace me like a child
Stay, when only you are all my love
Stay, guard me when the angels fall asleep",male
65,837,838,Sweden,40,Roger Pontare,When Spirits Are Calling My Name,English,7,88,45,2000,Sweden,Stockholm,"I am caught in a trap
There is no turning back
I'm finally facin' the fear
The sky is on fire
And up with the flames
My hope and my dreams disappear

So bring me the power
I'll be the king of the land and the seas
Show me the way to go
Let me fight with my body and soul

Let me be the native son
With freedom in my heart
Life will never be the same
When spirits are calling my name
My name...

Let me out of the darkness
The shadow of pain
And I'm keepin' my promise to you
My people, my spirit
The home of my heart
You're with me wherever I go

So bring me the power
I'll be the king of the land and the seas
I've got a way to go
Let me fight with my body and soul

Let me be the native son
With freedom in my heart
Life will never be the same
When spirits are calling my name
My name...

So bring me the power
I'll be the king of the land and the seas
I've got a way to go
Let me fight with my body and soul

Let me be the native son
With freedom in my home
Life will never be the same
When spirits are calling my name

Spirits are calling my name",English,male
66,838,839,Macedonia,2,XXL,100% te ljubam (100% те љубам),Macedonian/English,15,29,45,2000,Sweden,Stockholm,"Сто посто те љубам, сто посто е да
А надеж да губам јас немам намера
Сто посто те љубам, сто посто е да
И пак ќе ти речам да јас сум упорна

Сто посто те љубам, сто посто е да
А надеж да губам јас немам намера
Сто посто те љубам, сто посто е да
И пак ќе ти речам да јас сум упорна

Ко бајадера сладок е, сладок е, сладок жими се
А кога ќе те погледне, дали е случајно ил' не?
Вечерва ќе го освојам, на увце ќе му дошепнам
За да го потсетам

Не, немој да заборавиш, на ѕидот покрај креветот
Слика од весникот да исечеш и да ме урамиш
И немој да заборавиш вечерва да ме сонуваш

Сто посто те љубам, сто посто е да
А надеж да губам јас немам намера
Сто посто те љубам, сто посто е да
И пак ќе ти речам да јас сум упорна

Сто посто те љубам, сто посто е да
А надеж да губам јас немам намера
Сто посто те љубам, сто посто е да
И пак ќе ти речам да јас сум упорна

У лалала лалалала...
У лалала...
У лалала...

Не, немој да заборавиш, на ѕидот покрај креветот
Слика од весникот да исечеш и да ме урамиш
И немој да заборавиш вечерва да ме сонуваш

Сто посто те љубам, сто посто е да
А надеж да губам јас немам намера
Сто посто те љубам, сто посто е да
И пак ќе ти речам да јас сум упорна

Сто посто те љубам, сто посто е да
А надеж да губам јас немам намера
Сто посто те љубам, сто посто е да
И пак ќе ти речам да јас сум упорна
И пак ќе ти речам да јас сум упорна

Сто посто те љубам, сто посто е да","One hundred percent I love you, one hundred percent I do
And I have no intention of losing hope
One hundred percent I love you, one hundred percent I do
And I’ll tell you again that I’m persistent
One hundred percent I love you, one hundred percent I do
And I have no intention of losing hope
One hundred percent I love you, one hundred percent I do
And I’ll tell you again that I’m persistent
He’s as sweet as chocolate, he’s sweet, so sweet, I swear
And when he looks at you, is it coincidentally?
Tonight I’ll get him, I’ll whisper in his ear
To remind him
No, don’t forget, on the wall by your bed
To cut my photo from a magazine and frame it
And don’t forget to dream of me tonight
One hundred percent I love you, one hundred percent I do
And I have no intention of losing hope
One hundred percent I love you, one hundred percent I do
And I’ll tell you again that I’m persistent
One hundred percent I love you, one hundred percent I do
And I have no intention of losing hope
One hundred percent I love you, one hundred percent I do
And I’ll tell you again that I’m persistent
Ooh lalala lalalala…
Ooh lalala…
Ooh lalala…
No, don’t forget, on the wall by your bed
To cut my photo from a magazine and frame it
And don’t forget to dream of me tonight
One hundred percent I love you, one hundred percent I do
And I have no intention of losing hope
One hundred percent I love you, one hundred percent I do
And I’ll tell you again that I’m persistent
I love you one hundred percent, yes, I do
And I often wonder if you would love me too
I love you one hundred percent, yes, I do
And I’ll make you see that this heart of mine is true
And I’ll make you see that this heart of mine is true
I love you one hundred percent, yes, I do

",group
67,839,840,Finland,36,Nina Åström,A Little Bit,English,18,18,45,2000,Sweden,Stockholm,"I'm in love with the place where I was born
Where I lived my life in harmony with every new dawn
I'm in love with the people that I know
With whom I share my tears of laughter, the times I feel low

It's a little bit of love, it's a little love I need
To keep me going, keep me smiling
It's love that makes me breathe
It may be Finland, France or Spain
Berlin, Prague or Rome
It's the place where you live
Where your heart feels at home

There's a world that is bigger than my own
Where they strive to try and unify, to dull monotone
Every change that really matters comes from within
When in love we stand together through thick and thin

It's a little bit of love, it's a little love we need
To keep us going, keep us smiling
It's love that makes us breathe
It may be Amsterdam or Bern
Sweden or U.K.
Where your heart is at home
You will feel okay

(It's a little bit of love), it's a little love we need
To keep us going, keep us smiling
It's love that makes us breathe
It's a little bit of love, it's a little love we need
To keep us going, keep us smiling
It is love that makes us breathe

To keep us going, keep us smiling
It is love that makes us breathe",English,female
